date,time,previous_app,instagram_notification,instagram_opens_30min,instagram_opens_2hr,previous_instagram_duration,current_session_duration,reason,intentional,wanted_to_stop
2026-07-20,08:44,Facebook,no,0,0,0,39,habit,no,yes
2026-07-20,09:27,WhatsApp,yes,0,1,39,1,notification,yes,yes
2026-07-20,10:06,Messages,no,0,2,1,5,procrastination,yes,no
2026-07-20,10:24,Spotify,yes,1,2,5,1,specific purpose,yes,no
2026-07-20,10:23,YouTube,no,1,2,1,7,notification,yes,no
2026-07-20,12:55,Spotify,yes,0,3,7,1,notification,yes,no
2026-07-20,13:13,YouTube,no,1,1,1,20,habit,no,yes
2026-07-20,17:59,Facebook,no,0,0,20,3,procrastination,yes,no
2026-07-20,17:14,Messages,no,1,0,3,38,habit,no,no
2026-07-20,17:13,Camera,no,1,0,38,3,specific purpose,yes,no
2026-07-20,17:09,Facebook,yes,1,0,3,5,specific purpose,yes,no
2026-07-20,18:25,WhatsApp,no,0,4,5,41,habit,no,yes
2026-07-20,19:07,WhatsApp,yes,0,5,41,1,procrastination,yes,no
2026-07-20,19:16,Chrome,no,1,5,1,35,habit,no,no
2026-07-21,07:48,YouTube,yes,0,0,0,26,habit,no,yes
2026-07-21,11:49,Chrome,no,0,0,26,35,habit,no,yes
2026-07-21,13:23,Spotify,no,0,1,35,16,boredom,no,no
2026-07-21,14:52,WhatsApp,yes,0,1,16,5,notification,yes,no
2026-07-21,18:16,Camera,no,0,0,5,5,other,yes,no
2026-07-21,18:23,Settings,no,1,0,5,7,boredom,no,no
2026-07-21,19:37,Facebook,no,0,2,7,7,notification,yes,no
2026-07-21,23:04,Spotify,no,0,0,7,54,procrastination,no,yes
2026-07-22,08:46,YouTube,yes,0,0,0,2,notification,yes,no
2026-07-22,09:15,YouTube,no,1,1,2,7,habit,yes,no
2026-07-22,09:03,Chrome,no,1,1,7,8,other,yes,no
2026-07-22,12:25,WhatsApp,no,0,0,8,9,boredom,yes,no
2026-07-22,14:50,Spotify,no,0,1,9,11,habit,yes,no
2026-07-22,15:09,Facebook,yes,1,1,11,5,specific purpose,yes,no
2026-07-22,15:03,Chrome,no,1,1,5,1,notification,no,no
2026-07-22,16:32,WhatsApp,yes,0,3,1,5,notification,yes,no
2026-07-22,17:25,Facebook,yes,0,3,5,11,notification,yes,no
2026-07-22,18:20,Facebook,no,0,2,11,32,procrastination,no,yes
2026-07-22,18:08,Spotify,no,1,2,32,6,habit,yes,no
2026-07-22,18:36,YouTube,no,1,2,6,21,habit,no,yes
2026-07-22,20:22,Facebook,no,0,3,21,33,boredom,no,yes
2026-07-23,10:54,Settings,yes,0,0,0,1,notification,yes,yes
2026-07-23,10:27,Chrome,no,1,0,1,3,notification,yes,no
2026-07-23,12:35,Chrome,no,0,2,3,3,notification,yes,no
2026-07-23,13:53,WhatsApp,no,0,1,3,1,habit,no,no
2026-07-23,13:02,Facebook,no,1,1,1,48,habit,no,yes
2026-07-23,14:35,Camera,no,0,3,48,8,other,yes,no
2026-07-23,16:51,Camera,no,0,1,8,17,notification,no,no
2026-07-23,17:26,Facebook,no,0,1,17,12,boredom,yes,no
2026-07-23,18:14,Settings,yes,0,2,12,11,notification,yes,no
2026-07-23,18:42,Messages,yes,1,2,11,6,notification,yes,no
2026-07-23,19:43,Messages,no,0,3,6,2,other,yes,no
2026-07-23,21:16,Spotify,yes,0,1,2,2,notification,yes,no
2026-07-23,21:32,Facebook,yes,1,1,2,11,notification,yes,no
2026-07-23,22:51,Facebook,no,0,2,11,15,boredom,no,no
2026-07-24,14:18,Facebook,no,0,0,0,2,habit,yes,no
2026-07-24,14:57,Spotify,yes,0,0,2,18,notification,no,yes
2026-07-24,15:41,Settings,yes,0,2,18,10,notification,yes,no
2026-07-24,15:57,WhatsApp,no,1,2,10,11,habit,no,yes
2026-07-24,18:48,Spotify,yes,0,0,11,1,notification,yes,yes
